number_people,date,timestamp,is_weekend,is_holiday,temperature,is_start_of_semester,is_during_semester
26,2015-08-15 13:00:20-07:00,46820,1,0,80.16,0,0
33,2015-08-15 13:20:11-07:00,48011,1,0,80.16,0,0
31,2015-08-15 13:30:16-07:00,48616,1,0,80.16,0,0
26,2015-08-15 13:40:17-07:00,49217,1,0,80.16,0,0
26,2015-08-15 13:50:18-07:00,49818,1,0,80.16,0,0
26,2015-08-15 14:00:19-07:00,50419,1,0,79.98,0,0
23,2015-08-15 14:20:12-07:00,51612,1,0,79.98,0,0
29,2015-08-15 14:30:13-07:00,52213,1,0,79.98,0,0
27,2015-08-15 14:40:16-07:00,52816,1,0,79.98,0,0
29,2015-08-15 14:50:18-07:00,53418,1,0,79.98,0,0
25,2015-08-15 15:00:23-07:00,54023,1,0,78.79,0,0
29,2015-08-15 15:20:11-07:00,55211,1,0,78.79,0,0
35,2015-08-15 15:30:12-07:00,55812,1,0,78.79,0,0
32,2015-08-15 15:40:13-07:00,56413,1,0,78.79,0,0
36,2015-08-15 15:50:14-07:00,57014,1,0,78.79,0,0
31,2015-08-15 16:00:15-07:00,57615,1,0,78.51,0,0
24,2015-08-15 16:20:11-07:00,58811,1,0,78.51,0,0
26,2015-08-15 16:30:12-07:00,59412,1,0,78.51,0,0
28,2015-08-15 16:40:12-07:00,60012,1,0,78.51,0,0
33,2015-08-15 16:50:13-07:00,60613,1,0,78.51,0,0
26,2015-08-15 17:00:15-07:00,61215,1,0,77.32,0,0
31,2015-08-15 17:20:10-07:00,62410,1,0,77.32,0,0
39,2015-08-15 17:30:11-07:00,63011,1,0,77.32,0,0
43,2015-08-15 17:40:12-07:00,63612,1,0,77.32,0,0
40,2015-08-15 17:50:13-07:00,64213,1,0,77.32,0,0
36,2015-08-15 18:00:14-07:00,64814,1,0,75.62,0,0
43,2015-08-15 18:20:11-07:00,66011,1,0,75.62,0,0
38,2015-08-15 18:30:12-07:00,66612,1,0,75.62,0,0
32,2015-08-15 18:40:14-07:00,67214,1,0,75.62,0,0
29,2015-08-15 18:50:15-07:00,67815,1,0,75.62,0,0
31,2015-08-15 19:00:16-07:00,68416,1,0,73.61,0,0
27,2015-08-15 19:20:10-07:00,69610,1,0,73.61,0,0
23,2015-08-15 19:30:11-07:00,70211,1,0,73.61,0,0
29,2015-08-15 19:40:12-07:00,70812,1,0,73.61,0,0
28,2015-08-15 19:50:12-07:00,71412,1,0,73.61,0,0
29,2015-08-15 20:00:13-07:00,72013,1,0,71.49,0,0
29,2015-08-15 20:20:11-07:00,73211,1,0,71.49,0,0
31,2015-08-15 20:30:12-07:00,73812,1,0,71.49,0,0
28,2015-08-15 20:40:12-07:00,74412,1,0,71.49,0,0
33,2015-08-15 20:50:13-07:00,75013,1,0,71.49,0,0
26,2015-08-15 21:00:14-07:00,75614,1,0,69.48,0,0
25,2015-08-15 21:20:10-07:00,76810,1,0,69.48,0,0
29,2015-08-15 21:30:11-07:00,77411,1,0,69.48,0,0
22,2015-08-15 21:40:12-07:00,78012,1,0,69.48,0,0
24,2015-08-15 21:50:13-07:00,78613,1,0,69.48,0,0
26,2015-08-15 22:00:13-07:00,79213,1,0,67.75,0,0
22,2015-08-15 22:20:11-07:00,80411,1,0,67.75,0,0
25,2015-08-15 22:30:11-07:00,81011,1,0,67.75,0,0
26,2015-08-15 22:40:12-07:00,81612,1,0,67.75,0,0
12,2015-08-15 22:50:13-07:00,82213,1,0,67.75,0,0
17,2015-08-15 23:00:14-07:00,82814,1,0,66.53,0,0
4,2015-08-15 23:20:10-07:00,84010,1,0,66.53,0,0
2,2015-08-15 23:30:11-07:00,84611,1,0,66.53,0,0
0,2015-08-15 23:40:12-07:00,85212,1,0,66.53,0,0
0,2015-08-15 23:50:12-07:00,85812,1,0,66.53,0,0
0,2015-08-16 00:00:13-07:00,13,1,0,65.77,0,0
0,2015-08-16 00:20:10-07:00,1210,1,0,65.77,0,0
0,2015-08-16 00:30:11-07:00,1811,1,0,65.77,0,0
0,2015-08-16 00:40:12-07:00,2412,1,0,65.77,0,0
0,2015-08-16 00:50:13-07:00,3013,1,0,65.77,0,0
0,2015-08-16 01:00:13-07:00,3613,1,0,65.69,0,0
0,2015-08-16 05:20:11-07:00,19211,1,0,64.72,0,0
0,2015-08-16 05:30:11-07:00,19811,1,0,64.72,0,0
0,2015-08-16 05:40:12-07:00,20412,1,0,64.72,0,0
0,2015-08-16 05:50:13-07:00,21013,1,0,64.72,0,0
0,2015-08-16 06:00:13-07:00,21613,1,0,65.2,0,0
0,2015-08-16 06:20:11-07:00,22811,1,0,65.2,0,0
0,2015-08-16 06:30:11-07:00,23411,1,0,65.2,0,0
0,2015-08-16 06:40:12-07:00,24012,1,0,65.2,0,0
0,2015-08-16 06:50:13-07:00,24613,1,0,65.2,0,0
1,2015-08-16 07:00:14-07:00,25214,1,0,66.91,0,0
0,2015-08-16 07:20:10-07:00,26410,1,0,66.91,0,0
0,2015-08-16 07:30:11-07:00,27011,1,0,66.91,0,0
2,2015-08-16 07:40:12-07:00,27612,1,0,66.91,0,0
2,2015-08-16 07:50:13-07:00,28213,1,0,66.91,0,0
3,2015-08-16 08:00:13-07:00,28813,1,0,69.39,0,0
12,2015-08-16 08:20:10-07:00,30010,1,0,69.39,0,0
18,2015-08-16 08:30:11-07:00,30611,1,0,69.39,0,0
11,2015-08-16 08:40:12-07:00,31212,1,0,69.39,0,0
16,2015-08-16 08:50:13-07:00,31813,1,0,69.39,0,0
15,2015-08-16 09:00:13-07:00,32413,1,0,72.14,0,0
18,2015-08-16 09:20:11-07:00,33611,1,0,72.14,0,0
17,2015-08-16 09:30:11-07:00,34211,1,0,72.14,0,0
12,2015-08-16 09:40:12-07:00,34812,1,0,72.14,0,0
22,2015-08-16 09:50:13-07:00,35413,1,0,72.14,0,0
23,2015-08-16 10:00:14-07:00,36014,1,0,74.51,0,0
27,2015-08-16 10:20:10-07:00,37210,1,0,74.51,0,0
25,2015-08-16 10:30:11-07:00,37811,1,0,74.51,0,0
20,2015-08-16 10:40:12-07:00,38412,1,0,74.51,0,0
25,2015-08-16 10:50:13-07:00,39013,1,0,74.51,0,0
19,2015-08-16 11:00:13-07:00,39613,1,0,77.42,0,0
18,2015-08-16 11:20:10-07:00,40810,1,0,77.42,0,0
25,2015-08-16 11:30:11-07:00,41411,1,0,77.42,0,0
29,2015-08-16 11:40:12-07:00,42012,1,0,77.42,0,0
24,2015-08-16 11:50:13-07:00,42613,1,0,77.42,0,0
29,2015-08-16 12:00:13-07:00,43213,1,0,78.94,0,0
22,2015-08-16 12:20:10-07:00,44410,1,0,78.94,0,0
20,2015-08-16 12:30:11-07:00,45011,1,0,78.94,0,0
34,2015-08-16 12:40:12-07:00,45612,1,0,78.94,0,0
19,2015-08-16 12:50:12-07:00,46212,1,0,78.94,0,0
16,2015-08-16 13:00:13-07:00,46813,1,0,79.2,0,0
27,2015-08-16 13:20:10-07:00,48010,1,0,79.2,0,0
28,2015-08-16 13:30:11-07:00,48611,1,0,79.2,0,0
24,2015-08-16 13:40:12-07:00,49212,1,0,79.2,0,0
26,2015-08-16 13:50:12-07:00,49812,1,0,79.2,0,0
16,2015-08-16 14:00:13-07:00,50413,1,0,81.17,0,0
20,2015-08-16 14:20:10-07:00,51610,1,0,81.17,0,0
21,2015-08-16 14:30:11-07:00,52211,1,0,81.17,0,0
20,2015-08-16 14:40:12-07:00,52812,1,0,81.17,0,0
22,2015-08-16 14:50:13-07:00,53413,1,0,81.17,0,0
19,2015-08-16 15:00:13-07:00,54013,1,0,80.61,0,0
27,2015-08-16 15:20:10-07:00,55210,1,0,80.61,0,0
31,2015-08-16 15:30:11-07:00,55811,1,0,80.61,0,0
32,2015-08-16 15:40:12-07:00,56412,1,0,80.61,0,0
27,2015-08-16 15:50:12-07:00,57012,1,0,80.61,0,0
27,2015-08-16 16:00:13-07:00,57613,1,0,79.85,0,0
24,2015-08-16 16:20:10-07:00,58810,1,0,79.85,0,0
29,2015-08-16 16:30:11-07:00,59411,1,0,79.85,0,0
25,2015-08-16 16:40:12-07:00,60012,1,0,79.85,0,0
30,2015-08-16 16:50:13-07:00,60613,1,0,79.85,0,0
31,2015-08-16 17:00:13-07:00,61213,1,0,78.79,0,0
40,2015-08-16 17:20:10-07:00,62410,1,0,78.79,0,0
30,2015-08-16 17:30:10-07:00,63010,1,0,78.79,0,0
35,2015-08-16 17:40:11-07:00,63611,1,0,78.79,0,0
34,2015-08-16 17:50:13-07:00,64213,1,0,78.79,0,0
31,2015-08-16 18:00:13-07:00,64813,1,0,76.75,0,0
34,2015-08-16 18:20:09-07:00,66009,1,0,76.75,0,0
36,2015-08-16 18:30:09-07:00,66609,1,0,76.75,0,0
27,2015-08-16 18:40:10-07:00,67210,1,0,76.75,0,0
33,2015-08-16 18:50:11-07:00,67811,1,0,76.75,0,0
38,2015-08-16 19:00:12-07:00,68412,1,0,74.36,0,0
41,2015-08-16 19:20:08-07:00,69608,1,0,74.36,0,0
39,2015-08-16 19:30:09-07:00,70209,1,0,74.36,0,0
39,2015-08-16 19:40:10-07:00,70810,1,0,74.36,0,0
41,2015-08-16 19:50:10-07:00,71410,1,0,74.36,0,0
28,2015-08-16 20:00:11-07:00,72011,1,0,71.6,0,0
38,2015-08-16 20:20:08-07:00,73208,1,0,71.6,0,0
38,2015-08-16 20:30:09-07:00,73809,1,0,71.6,0,0
39,2015-08-16 20:40:10-07:00,74410,1,0,71.6,0,0
25,2015-08-16 20:50:11-07:00,75011,1,0,71.6,0,0
32,2015-08-16 21:00:11-07:00,75611,1,0,70.65,0,0
32,2015-08-16 21:20:08-07:00,76808,1,0,70.65,0,0
26,2015-08-16 21:30:09-07:00,77409,1,0,70.65,0,0
31,2015-08-16 21:40:09-07:00,78009,1,0,70.65,0,0
26,2015-08-16 21:50:10-07:00,78610,1,0,70.65,0,0
38,2015-08-16 22:00:11-07:00,79211,1,0,68.85,0,0
34,2015-08-16 22:20:08-07:00,80408,1,0,68.85,0,0
35,2015-08-16 22:30:09-07:00,81009,1,0,68.85,0,0
24,2015-08-16 22:40:10-07:00,81610,1,0,68.85,0,0
31,2015-08-16 22:50:11-07:00,82211,1,0,68.85,0,0
22,2015-08-16 23:00:11-07:00,82811,1,0,67.93,0,0
21,2015-08-16 23:20:08-07:00,84008,1,0,67.93,0,0
17,2015-08-16 23:30:08-07:00,84608,1,0,67.93,0,0
19,2015-08-16 23:40:10-07:00,85210,1,0,67.93,0,0
22,2015-08-16 23:50:10-07:00,85810,1,0,67.93,0,0
17,2015-08-17 00:00:11-07:00,11,0,0,65.76,0,0
17,2015-08-17 00:20:09-07:00,1209,0,0,65.76,0,0
14,2015-08-17 00:30:09-07:00,1809,0,0,65.76,0,0
9,2015-08-17 00:40:10-07:00,2410,0,0,65.76,0,0
11,2015-08-17 00:50:11-07:00,3011,0,0,65.76,0,0
6,2015-08-17 01:00:11-07:00,3611,0,0,64.97,0,0
3,2015-08-17 05:20:08-07:00,19208,0,0,63.73,0,0
1,2015-08-17 05:30:09-07:00,19809,0,0,63.73,0,0
4,2015-08-17 05:40:10-07:00,20410,0,0,63.73,0,0
0,2015-08-17 05:50:11-07:00,21011,0,0,63.73,0,0
9,2015-08-17 06:00:12-07:00,21612,0,0,63.42,0,0
9,2015-08-17 06:20:08-07:00,22808,0,0,63.42,0,0
16,2015-08-17 06:30:09-07:00,23409,0,0,63.42,0,0
18,2015-08-17 06:40:10-07:00,24010,0,0,63.42,0,0
13,2015-08-17 06:50:11-07:00,24611,0,0,63.42,0,0
23,2015-08-17 07:00:12-07:00,25212,0,0,64.69,0,0
26,2015-08-17 07:20:08-07:00,26408,0,0,64.69,0,0
23,2015-08-17 07:30:09-07:00,27009,0,0,64.69,0,0
17,2015-08-17 07:40:10-07:00,27610,0,0,64.69,0,0
27,2015-08-17 07:50:11-07:00,28211,0,0,64.69,0,0
23,2015-08-17 08:00:11-07:00,28811,0,0,65.53,0,0
38,2015-08-17 08:20:08-07:00,30008,0,0,65.53,0,0
24,2015-08-17 08:30:09-07:00,30609,0,0,65.53,0,0
23,2015-08-17 08:40:10-07:00,31210,0,0,65.53,0,0
32,2015-08-17 08:50:11-07:00,31811,0,0,65.53,0,0
31,2015-08-17 09:00:12-07:00,32412,0,0,66.71,0,0
31,2015-08-17 09:20:09-07:00,33609,0,0,66.71,0,0
32,2015-08-17 09:30:10-07:00,34210,0,0,66.71,0,0
34,2015-08-17 09:40:10-07:00,34810,0,0,66.71,0,0
39,2015-08-17 09:50:11-07:00,35411,0,0,66.71,0,0
39,2015-08-17 10:00:12-07:00,36012,0,0,67.83,0,0
33,2015-08-17 10:20:09-07:00,37209,0,0,67.83,0,0
33,2015-08-17 10:30:10-07:00,37810,0,0,67.83,0,0
37,2015-08-17 10:40:11-07:00,38411,0,0,67.83,0,0
29,2015-08-17 10:50:12-07:00,39012,0,0,67.83,0,0
32,2015-08-17 11:00:12-07:00,39612,0,0,67.81,0,0
35,2015-08-17 11:20:10-07:00,40810,0,0,67.81,0,0
26,2015-08-17 11:30:10-07:00,41410,0,0,67.81,0,0
34,2015-08-17 11:40:11-07:00,42011,0,0,67.81,0,0
29,2015-08-17 11:50:12-07:00,42612,0,0,67.81,0,0
28,2015-08-17 12:00:13-07:00,43213,0,0,68.76,0,0
32,2015-08-17 12:20:09-07:00,44409,0,0,68.76,0,0
27,2015-08-17 12:30:10-07:00,45010,0,0,68.76,0,0
26,2015-08-17 12:40:11-07:00,45611,0,0,68.76,0,0
27,2015-08-17 12:50:12-07:00,46212,0,0,68.76,0,0
31,2015-08-17 13:00:13-07:00,46813,0,0,70.75,0,0
33,2015-08-17 13:20:09-07:00,48009,0,0,70.75,0,0
31,2015-08-17 13:30:10-07:00,48610,0,0,70.75,0,0
30,2015-08-17 13:40:11-07:00,49211,0,0,70.75,0,0
28,2015-08-17 13:50:12-07:00,49812,0,0,70.75,0,0
27,2015-08-17 14:00:13-07:00,50413,0,0,70.18,0,0
30,2015-08-17 14:20:09-07:00,51609,0,0,70.18,0,0
18,2015-08-17 14:30:10-07:00,52210,0,0,70.18,0,0
27,2015-08-17 14:40:10-07:00,52810,0,0,70.18,0,0
37,2015-08-17 14:50:11-07:00,53411,0,0,70.18,0,0
33,2015-08-17 15:00:12-07:00,54012,0,0,69.65,0,0
33,2015-08-17 15:20:08-07:00,55208,0,0,69.65,0,0
44,2015-08-17 15:30:09-07:00,55809,0,0,69.65,0,0
43,2015-08-17 15:40:10-07:00,56410,0,0,69.65,0,0
48,2015-08-17 15:50:11-07:00,57011,0,0,69.65,0,0
45,2015-08-17 16:00:12-07:00,57612,0,0,67.99,0,0
50,2015-08-17 16:20:08-07:00,58808,0,0,67.99,0,0
42,2015-08-17 16:30:09-07:00,59409,0,0,67.99,0,0
45,2015-08-17 16:40:09-07:00,60009,0,0,67.99,0,0
47,2015-08-17 16:50:10-07:00,60610,0,0,67.99,0,0
47,2015-08-17 17:00:10-07:00,61210,0,0,67.04,0,0
55,2015-08-17 17:20:09-07:00,62409,0,0,67.04,0,0
68,2015-08-17 17:30:10-07:00,63010,0,0,67.04,0,0
50,2015-08-17 17:40:10-07:00,63610,0,0,67.04,0,0
58,2015-08-17 17:50:11-07:00,64211,0,0,67.04,0,0
65,2015-08-17 18:00:12-07:00,64812,0,0,64.26,0,0
63,2015-08-17 18:20:09-07:00,66009,0,0,64.26,0,0
63,2015-08-17 18:30:09-07:00,66609,0,0,64.26,0,0
74,2015-08-17 18:40:10-07:00,67210,0,0,64.26,0,0
69,2015-08-17 18:50:11-07:00,67811,0,0,64.26,0,0
69,2015-08-17 19:00:11-07:00,68411,0,0,63.04,0,0
60,2015-08-17 19:20:09-07:00,69609,0,0,63.04,0,0
68,2015-08-17 19:30:10-07:00,70210,0,0,63.04,0,0
73,2015-08-17 19:40:11-07:00,70811,0,0,63.04,0,0
50,2015-08-17 19:50:12-07:00,71412,0,0,63.04,0,0
53,2015-08-17 20:00:12-07:00,72012,0,0,62,0,0
50,2015-08-17 20:20:09-07:00,73209,0,0,62,0,0
45,2015-08-17 20:30:09-07:00,73809,0,0,62,0,0
52,2015-08-17 20:40:10-07:00,74410,0,0,62,0,0
66,2015-08-17 20:50:10-07:00,75010,0,0,62,0,0
64,2015-08-17 21:00:11-07:00,75611,0,0,62,0,0
60,2015-08-17 21:20:09-07:00,76809,0,0,62,0,0
44,2015-08-17 21:30:09-07:00,77409,0,0,62,0,0
50,2015-08-17 21:40:10-07:00,78010,0,0,62,0,0
46,2015-08-17 21:50:11-07:00,78611,0,0,62,0,0
39,2015-08-17 22:00:12-07:00,79212,0,0,62,0,0
42,2015-08-17 22:20:09-07:00,80409,0,0,62,0,0
49,2015-08-17 22:30:09-07:00,81009,0,0,62,0,0
34,2015-08-17 22:40:10-07:00,81610,0,0,62,0,0
32,2015-08-17 22:50:11-07:00,82211,0,0,62,0,0
35,2015-08-17 23:00:12-07:00,82812,0,0,62,0,0
27,2015-08-17 23:20:09-07:00,84009,0,0,62,0,0
21,2015-08-17 23:30:09-07:00,84609,0,0,62,0,0
28,2015-08-17 23:40:09-07:00,85209,0,0,62,0,0
23,2015-08-17 23:50:10-07:00,85810,0,0,62,0,0
20,2015-08-18 00:00:11-07:00,11,0,0,62,0,0
19,2015-08-18 00:20:08-07:00,1208,0,0,62,0,0
15,2015-08-18 00:30:09-07:00,1809,0,0,62,0,0
15,2015-08-18 00:40:10-07:00,2410,0,0,62,0,0
18,2015-08-18 00:50:10-07:00,3010,0,0,62,0,0
12,2015-08-18 01:00:11-07:00,3611,0,0,61.8,0,0
0,2015-08-18 05:20:09-07:00,19209,0,0,61.73,0,0
0,2015-08-18 05:30:09-07:00,19809,0,0,61.73,0,0
0,2015-08-18 05:40:10-07:00,20410,0,0,61.73,0,0
0,2015-08-18 05:50:11-07:00,21011,0,0,61.73,0,0
2,2015-08-18 06:00:11-07:00,21611,0,0,61.73,0,0
7,2015-08-18 06:20:09-07:00,22809,0,0,61.73,0,0
10,2015-08-18 06:30:10-07:00,23410,0,0,61.73,0,0
11,2015-08-18 06:40:10-07:00,24010,0,0,61.73,0,0
6,2015-08-18 06:50:11-07:00,24611,0,0,61.73,0,0
17,2015-08-18 07:00:11-07:00,25211,0,0,61.73,0,0
14,2015-08-18 07:20:09-07:00,26409,0,0,61.73,0,0
20,2015-08-18 07:30:09-07:00,27009,0,0,61.73,0,0
19,2015-08-18 07:40:10-07:00,27610,0,0,61.73,0,0
22,2015-08-18 07:50:11-07:00,28211,0,0,61.73,0,0
27,2015-08-18 08:00:11-07:00,28811,0,0,62.01,0,0
32,2015-08-18 08:20:09-07:00,30009,0,0,62.01,0,0
36,2015-08-18 08:30:10-07:00,30610,0,0,62.01,0,0
35,2015-08-18 08:40:11-07:00,31211,0,0,62.01,0,0
39,2015-08-18 08:50:11-07:00,31811,0,0,62.01,0,0
35,2015-08-18 09:00:12-07:00,32412,0,0,63.47,0,0
34,2015-08-18 09:20:09-07:00,33609,0,0,63.47,0,0
34,2015-08-18 09:30:10-07:00,34210,0,0,63.47,0,0
28,2015-08-18 09:40:10-07:00,34810,0,0,63.47,0,0
19,2015-08-18 09:50:11-07:00,35411,0,0,63.47,0,0
32,2015-08-18 10:00:12-07:00,36012,0,0,64.96,0,0
48,2015-08-18 10:20:08-07:00,37208,0,0,64.96,0,0
47,2015-08-18 10:30:09-07:00,37809,0,0,64.96,0,0
37,2015-08-18 10:40:10-07:00,38410,0,0,64.96,0,0
32,2015-08-18 10:50:10-07:00,39010,0,0,64.96,0,0
30,2015-08-18 11:00:11-07:00,39611,0,0,66.18,0,0
35,2015-08-18 11:20:09-07:00,40809,0,0,66.18,0,0
26,2015-08-18 11:30:10-07:00,41410,0,0,66.18,0,0
26,2015-08-18 11:40:10-07:00,42010,0,0,66.18,0,0
22,2015-08-18 11:50:11-07:00,42611,0,0,66.18,0,0
29,2015-08-18 12:00:11-07:00,43211,0,0,66.18,0,0
31,2015-08-18 12:20:10-07:00,44410,0,0,66.18,0,0
28,2015-08-18 12:30:10-07:00,45010,0,0,66.18,0,0
24,2015-08-18 12:40:11-07:00,45611,0,0,66.18,0,0
30,2015-08-18 12:50:12-07:00,46212,0,0,66.18,0,0
34,2015-08-18 13:00:12-07:00,46812,0,0,67.41,0,0
36,2015-08-18 13:20:09-07:00,48009,0,0,67.41,0,0
29,2015-08-18 13:30:10-07:00,48610,0,0,67.41,0,0
31,2015-08-18 13:40:11-07:00,49211,0,0,67.41,0,0
24,2015-08-18 13:50:12-07:00,49812,0,0,67.41,0,0
27,2015-08-18 14:00:12-07:00,50412,0,0,67.69,0,0
36,2015-08-18 14:20:09-07:00,51609,0,0,67.69,0,0
36,2015-08-18 14:30:10-07:00,52210,0,0,67.69,0,0
44,2015-08-18 14:40:10-07:00,52810,0,0,67.69,0,0
32,2015-08-18 14:50:11-07:00,53411,0,0,67.69,0,0
28,2015-08-18 15:00:11-07:00,54011,0,0,67.21,0,0
36,2015-08-18 15:20:10-07:00,55210,0,0,67.21,0,0
43,2015-08-18 15:30:10-07:00,55810,0,0,67.21,0,0
32,2015-08-18 15:40:11-07:00,56411,0,0,67.21,0,0
37,2015-08-18 15:50:11-07:00,57011,0,0,67.21,0,0
34,2015-08-18 16:00:12-07:00,57612,0,0,66.68,0,0
33,2015-08-18 16:20:10-07:00,58810,0,0,66.68,0,0
41,2015-08-18 16:30:11-07:00,59411,0,0,66.68,0,0
41,2015-08-18 16:35:08-07:00,59708,0,0,66.68,0,0
35,2015-08-18 16:40:11-07:00,60011,0,0,66.68,0,0
43,2015-08-18 16:50:12-07:00,60612,0,0,66.68,0,0
45,2015-08-18 17:00:13-07:00,61213,0,0,65.96,0,0
53,2015-08-18 17:20:09-07:00,62409,0,0,65.96,0,0
61,2015-08-18 17:30:10-07:00,63010,0,0,65.96,0,0
63,2015-08-18 17:40:10-07:00,63610,0,0,65.96,0,0
51,2015-08-18 17:50:11-07:00,64211,0,0,65.96,0,0
62,2015-08-18 18:00:12-07:00,64812,0,0,65.22,0,0
62,2015-08-18 18:20:09-07:00,66009,0,0,65.22,0,0
56,2015-08-18 18:30:10-07:00,66610,0,0,65.22,0,0
71,2015-08-18 18:40:10-07:00,67210,0,0,65.22,0,0
72,2015-08-18 18:50:11-07:00,67811,0,0,65.22,0,0
