uid,age,age_group,profession,marital_status,education,default,housing,loan,gender,balance,membership,charges,customer_contacts,attrition
1000086,30,30s,self_employed,single,high school,no,yes,yes,male,$50k - $100k,gold,137,0,0
1000087,36,30s,management,married,high school,no,yes,no,male,$10k - $50k,silver,1,8,0
1000088,46,40s,self_employed,married,graduate,no,no,no,female,Over $250k,platinum,23,1,0
1000089,29,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,248,3,1
1000090,39,30s,manufacturing,single,high school,no,yes,no,female,Over $250k,platinum,50,0,0
1000091,56,50s,manufacturing,divorced,college,no,yes,no,male,$50k - $100k,gold,288,4,1
1000092,59,50s,technician,married,graduate,no,no,no,female,Over $250k,platinum,77,1,0
1000093,23,20s,student,single,high school,no,no,no,male,$100k - $250k,platinum,99,5,0
1000094,51,50s,manufacturing,divorced,unknown,no,yes,no,male,$50k - $100k,gold,247,4,1
1000095,57,50s,management,married,graduate,no,no,no,male,$100k - $250k,platinum,167,5,0
1000096,44,40s,manufacturing,married,graduate,no,yes,no,female,Over $250k,platinum,142,0,0
1000097,50,50s,administration,single,graduate,no,no,yes,male,$100k - $250k,platinum,52,0,0
1000098,30,30s,manufacturing,married,college,no,yes,yes,male,$10k - $50k,silver,80,0,0
1000099,56,50s,manufacturing,divorced,graduate,no,yes,no,female,$50k - $100k,gold,28,0,0
1000100,55,50s,administration,divorced,graduate,no,yes,yes,female,$10k - $50k,silver,299,4,1
1000101,45,40s,manufacturing,married,graduate,no,no,yes,male,Over $250k,platinum,48,1,0
1000102,50,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,204,4,1
1000103,22,20s,unemployed,divorced,graduate,no,no,no,female,Under $10k,silver,289,3,1
1000104,52,50s,executive,married,college,no,no,yes,male,$50k - $100k,gold,25,2,0
1000105,33,30s,management,divorced,graduate,no,no,no,male,$100k - $250k,platinum,151,1,0
1000106,37,30s,entrepreneur,married,high school,no,yes,no,male,$10k - $50k,silver,13,0,0
1000107,33,30s,management,single,graduate,no,yes,no,female,$100k - $250k,platinum,122,0,0
1000108,33,30s,technician,married,graduate,no,no,no,male,$50k - $100k,gold,28,1,0
1000109,50,50s,consulting,married,graduate,no,no,no,female,$50k - $100k,gold,175,1,0
1000110,32,30s,administration,married,high school,no,yes,no,male,$10k - $50k,silver,2,2,0
1000111,25,20s,unemployed,divorced,high school,no,no,no,female,Under $10k,silver,292,3,1
1000112,33,30s,consulting,single,graduate,no,yes,no,female,Over $250k,platinum,98,0,0
1000113,41,40s,technician,single,graduate,no,no,no,female,$10k - $50k,silver,95,1,0
1000114,36,30s,management,married,high school,no,yes,yes,female,$100k - $250k,platinum,66,2,0
1000115,51,50s,administration,married,graduate,no,yes,no,male,$10k - $50k,silver,145,1,0
1000116,58,50s,manufacturing,divorced,college,no,yes,yes,female,$50k - $100k,gold,213,4,1
1000117,47,40s,management,married,college,no,yes,no,male,$100k - $250k,platinum,87,1,0
1000118,33,30s,management,single,high school,no,no,no,male,$10k - $50k,silver,146,2,0
1000119,41,40s,management,married,graduate,no,no,no,male,Over $250k,platinum,10,1,1
1000120,41,40s,manufacturing,married,graduate,no,yes,no,female,$100k - $250k,platinum,53,2,0
1000121,36,30s,technician,married,graduate,no,yes,no,male,$100k - $250k,platinum,148,1,0
1000122,33,30s,management,single,high school,no,yes,no,female,$100k - $250k,platinum,1,2,0
1000123,33,30s,technician,single,graduate,no,yes,no,male,$100k - $250k,platinum,153,0,0
1000124,55,50s,management,single,high school,no,yes,no,female,Over $250k,platinum,44,0,1
1000125,31,30s,manufacturing,married,college,no,no,no,male,$10k - $50k,silver,51,2,0
1000126,52,50s,self_employed,married,graduate,no,yes,no,male,$100k - $250k,platinum,158,2,0
1000127,36,30s,manufacturing,married,graduate,no,no,yes,male,$10k - $50k,silver,154,0,0
1000128,41,40s,technician,single,graduate,no,yes,yes,female,$50k - $100k,gold,9,0,0
1000129,60,60s,technician,married,high school,no,yes,yes,male,$100k - $250k,platinum,133,2,0
1000130,33,30s,manufacturing,single,high school,no,yes,no,female,Over $250k,platinum,55,0,0
1000131,29,20s,technician,married,high school,no,no,no,male,$50k - $100k,gold,34,2,0
1000132,58,50s,management,divorced,high school,no,yes,no,female,$100k - $250k,platinum,11,2,0
1000133,35,30s,administration,divorced,graduate,no,no,yes,female,$50k - $100k,gold,143,1,0
1000134,56,50s,management,divorced,high school,no,no,no,female,$100k - $250k,platinum,118,2,0
1000135,31,30s,entrepreneur,single,high school,no,yes,no,male,Over $250k,platinum,122,0,0
1000136,41,40s,technician,divorced,graduate,no,yes,no,male,Over $250k,platinum,18,1,1
1000137,41,40s,technician,divorced,graduate,no,no,yes,female,$100k - $250k,platinum,84,0,0
1000138,36,30s,management,married,high school,no,no,no,male,$10k - $50k,silver,129,1,0
1000139,59,50s,management,married,high school,no,no,no,female,$100k - $250k,platinum,145,2,0
1000140,32,30s,administration,married,graduate,no,no,no,female,Over $250k,platinum,42,0,0
1000141,30,30s,technician,married,graduate,no,yes,no,male,$100k - $250k,platinum,70,2,0
1000142,47,40s,consulting,married,college,no,yes,yes,male,$100k - $250k,platinum,62,1,0
1000143,27,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,223,3,1
1000144,44,40s,manufacturing,single,graduate,no,yes,yes,female,$50k - $100k,gold,113,0,0
1000145,39,30s,technician,married,graduate,no,yes,no,female,$50k - $100k,gold,85,1,0
1000146,28,20s,student,single,graduate,no,no,no,male,Over $250k,platinum,150,2,1
1000147,45,40s,technician,married,graduate,no,no,no,male,$50k - $100k,gold,163,5,0
1000148,40,40s,manufacturing,married,college,no,yes,no,female,$50k - $100k,gold,40,0,0
1000149,27,20s,management,single,high school,no,no,no,female,$50k - $100k,gold,69,2,0
1000150,58,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,339,4,1
1000151,37,30s,manufacturing,single,high school,no,yes,no,male,Over $250k,platinum,117,0,0
1000152,51,50s,management,married,high school,no,no,no,male,$50k - $100k,gold,62,2,0
1000153,53,50s,consulting,divorced,graduate,no,yes,no,female,$10k - $50k,silver,219,4,1
1000154,58,50s,technician,married,graduate,no,no,no,female,$50k - $100k,gold,16,0,0
1000155,36,30s,management,single,college,no,no,no,female,$100k - $250k,platinum,152,0,0
1000156,49,40s,management,single,graduate,no,no,no,female,Over $250k,platinum,62,1,0
1000157,44,40s,management,married,graduate,no,yes,no,female,Over $250k,platinum,143,1,0
1000158,32,30s,technician,single,high school,no,yes,no,male,$50k - $100k,gold,159,1,0
1000159,44,40s,technician,divorced,graduate,no,no,no,female,Over $250k,platinum,109,1,0
1000160,46,40s,management,married,graduate,no,yes,no,female,Over $250k,platinum,55,5,0
1000161,59,50s,retired,divorced,college,no,no,no,male,$100k - $250k,platinum,34,0,0
1000162,43,40s,technician,married,graduate,no,yes,no,female,Over $250k,platinum,133,0,0
1000163,27,20s,student,single,graduate,no,no,no,male,$100k - $250k,platinum,17,8,0
1000164,71,70s,retired,married,graduate,no,no,no,female,$10k - $50k,silver,106,8,0
1000165,26,20s,technician,married,graduate,no,yes,no,female,Over $250k,platinum,41,1,0
1000166,58,50s,manufacturing,divorced,college,no,yes,no,male,$50k - $100k,gold,255,4,1
1000167,28,20s,administration,married,graduate,no,yes,no,male,$100k - $250k,platinum,122,0,0
1000168,56,50s,administration,divorced,college,no,yes,no,female,$10k - $50k,silver,263,3,1
1000169,29,20s,unemployed,divorced,college,no,yes,yes,female,Under $10k,silver,331,3,1
1000170,36,30s,management,married,high school,no,yes,yes,male,$10k - $50k,silver,66,1,0
1000171,37,30s,administration,single,high school,no,no,no,female,Over $250k,platinum,53,0,0
1000172,56,50s,technician,divorced,high school,no,yes,no,female,$50k - $100k,gold,241,4,1
1000173,23,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,218,3,1
1000174,36,30s,administration,married,graduate,no,yes,no,female,$50k - $100k,gold,111,2,0
1000175,33,30s,technician,married,high school,no,yes,no,female,$10k - $50k,silver,147,2,0
1000176,44,40s,unknown,married,graduate,no,no,no,male,$100k - $250k,platinum,13,1,0
1000177,48,40s,technician,married,graduate,no,no,no,female,$10k - $50k,silver,117,2,0
1000178,31,30s,administration,single,graduate,no,yes,no,female,$10k - $50k,silver,142,2,0
1000179,42,40s,management,divorced,high school,no,no,no,male,$100k - $250k,platinum,75,1,0
1000180,32,30s,self_employed,single,high school,no,yes,no,female,$100k - $250k,platinum,170,5,0
1000181,55,50s,manufacturing,married,graduate,no,no,no,male,$100k - $250k,platinum,32,5,0
1000182,38,30s,technician,single,graduate,no,yes,no,female,$50k - $100k,gold,76,0,0
1000183,33,30s,management,single,high school,no,no,no,female,$10k - $50k,silver,27,6,0
1000184,20,20s,unemployed,divorced,graduate,no,no,no,female,$10k - $50k,silver,309,3,1
1000185,41,40s,administration,married,graduate,no,no,no,female,$10k - $50k,silver,49,0,0
1000186,56,50s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,299,4,1
1000187,29,20s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,291,3,1
1000188,40,40s,management,married,graduate,no,yes,no,male,$100k - $250k,platinum,126,0,0
1000189,32,30s,consulting,single,graduate,no,yes,no,male,$50k - $100k,gold,158,2,0
1000190,59,50s,management,married,college,no,no,no,female,$50k - $100k,gold,74,7,0
1000191,41,40s,manufacturing,married,graduate,no,yes,no,male,$50k - $100k,gold,159,2,0
1000192,44,40s,management,divorced,high school,no,no,no,male,$10k - $50k,silver,107,1,0
1000193,42,40s,manufacturing,married,graduate,no,no,no,male,$10k - $50k,silver,66,1,0
1000194,37,30s,entrepreneur,married,graduate,no,no,yes,male,Over $250k,platinum,159,5,0
1000195,45,40s,technician,married,graduate,no,no,no,female,Over $250k,platinum,146,2,0
1000196,54,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,294,4,1
1000197,33,30s,consulting,single,graduate,no,no,no,male,$100k - $250k,platinum,23,1,0
1000198,46,40s,entrepreneur,married,graduate,no,yes,yes,female,Over $250k,platinum,130,1,0
1000199,31,30s,management,single,high school,no,no,no,female,$50k - $100k,gold,29,5,0
1000200,39,30s,management,married,graduate,no,no,no,female,Over $250k,platinum,102,1,0
1000201,51,50s,manufacturing,divorced,graduate,no,yes,no,male,$50k - $100k,gold,213,4,1
1000202,37,30s,technician,married,graduate,no,no,no,female,$100k - $250k,platinum,132,0,0
1000203,45,40s,self_employed,divorced,graduate,yes,yes,yes,male,Over $250k,platinum,124,2,0
1000204,30,30s,administration,single,graduate,no,no,no,female,$100k - $250k,platinum,6,8,0
1000205,37,30s,manufacturing,single,college,no,yes,yes,female,$10k - $50k,silver,155,1,0
1000206,47,40s,management,married,graduate,no,yes,no,female,Over $250k,platinum,63,1,0
1000207,58,50s,administration,married,graduate,no,no,yes,male,$100k - $250k,platinum,98,2,0
1000208,58,50s,manufacturing,single,graduate,no,yes,no,female,$100k - $250k,platinum,180,0,0
1000209,36,30s,entrepreneur,single,graduate,no,yes,no,male,$10k - $50k,silver,13,0,0
1000210,51,50s,administration,divorced,graduate,no,no,no,female,$10k - $50k,silver,202,3,1
1000211,59,50s,administration,divorced,high school,no,no,yes,female,$10k - $50k,silver,228,4,1
1000212,32,30s,technician,married,graduate,no,no,no,female,Over $250k,platinum,102,1,0
1000213,40,40s,technician,married,graduate,no,no,no,female,$50k - $100k,gold,142,1,0
1000214,43,40s,manufacturing,single,graduate,no,yes,yes,male,$50k - $100k,gold,17,0,0
1000215,36,30s,management,single,graduate,no,no,no,female,Over $250k,platinum,6,5,0
1000216,35,30s,management,married,college,no,no,no,female,$100k - $250k,platinum,152,2,0
1000217,43,40s,management,married,high school,no,yes,no,female,$100k - $250k,platinum,32,2,0
1000218,38,30s,self_employed,divorced,graduate,yes,no,no,male,$50k - $100k,gold,126,2,0
1000219,56,50s,retired,married,graduate,no,no,no,female,$100k - $250k,platinum,65,1,1
1000220,36,30s,technician,single,graduate,no,no,no,male,Over $250k,platinum,106,1,0
1000221,26,20s,manufacturing,single,graduate,yes,yes,no,female,$50k - $100k,gold,147,0,0
1000222,27,20s,student,married,graduate,no,yes,no,male,Over $250k,platinum,56,0,0
1000223,54,50s,administration,married,graduate,no,no,yes,female,Over $250k,platinum,28,2,0
1000224,67,60s,retired,married,college,no,no,no,male,$50k - $100k,gold,153,8,0
1000225,53,50s,management,married,graduate,no,yes,no,male,$10k - $50k,silver,150,0,0
1000226,31,30s,manufacturing,married,college,no,yes,no,male,$100k - $250k,platinum,134,2,0
1000227,41,40s,executive,divorced,graduate,no,yes,no,male,Over $250k,platinum,12,2,0
1000228,39,30s,management,single,high school,no,yes,yes,female,Over $250k,platinum,113,0,0
1000229,28,20s,management,single,high school,no,no,no,female,$100k - $250k,platinum,87,7,0
1000230,47,40s,unknown,married,graduate,no,no,no,female,Over $250k,platinum,179,1,0
1000231,22,20s,unemployed,divorced,high school,no,yes,yes,female,Under $10k,silver,316,3,1
1000232,41,40s,management,married,graduate,no,yes,no,male,$50k - $100k,gold,20,0,0
1000233,32,30s,management,married,graduate,no,no,no,female,Over $250k,platinum,99,1,0
1000234,59,50s,retired,married,graduate,no,yes,no,female,Over $250k,platinum,171,0,0
1000235,36,30s,administration,married,graduate,no,yes,no,male,Over $250k,platinum,156,2,0
1000236,51,50s,retired,married,graduate,no,yes,no,female,$100k - $250k,platinum,75,0,0
1000237,35,30s,management,married,graduate,no,no,no,male,Over $250k,platinum,148,2,0
1000238,30,30s,administration,divorced,graduate,no,no,no,male,$100k - $250k,platinum,103,5,0
1000239,34,30s,technician,married,high school,no,yes,no,male,$10k - $50k,silver,28,5,0
1000240,56,50s,management,divorced,high school,no,yes,no,female,$10k - $50k,silver,325,4,1
1000241,40,40s,management,single,high school,no,yes,yes,male,$100k - $250k,platinum,48,0,0
1000242,25,20s,consulting,single,graduate,no,no,no,female,$10k - $50k,silver,41,1,0
1000243,27,20s,administration,single,graduate,no,yes,no,female,Over $250k,platinum,23,0,0
1000244,58,50s,entrepreneur,divorced,college,no,yes,no,female,$50k - $100k,gold,249,4,1
1000245,57,50s,consulting,married,graduate,no,no,no,female,Over $250k,platinum,88,1,0
1000246,44,40s,administration,single,graduate,no,yes,no,female,$10k - $50k,silver,169,0,0
1000247,32,30s,management,married,high school,no,no,no,male,$50k - $100k,gold,131,1,0
1000248,54,50s,administration,divorced,high school,no,yes,no,female,$10k - $50k,silver,201,4,1
1000249,37,30s,management,married,high school,no,no,no,female,$10k - $50k,silver,164,1,0
1000250,47,40s,manufacturing,married,graduate,no,yes,yes,male,$100k - $250k,platinum,23,1,0
1000251,38,30s,manufacturing,married,graduate,no,yes,no,female,Over $250k,platinum,16,0,0
1000252,23,20s,unemployed,divorced,high school,no,yes,no,female,Under $10k,silver,328,3,1
1000253,59,50s,consulting,single,high school,no,yes,yes,male,Over $250k,platinum,77,0,0
1000254,32,30s,administration,married,graduate,no,no,yes,male,$100k - $250k,platinum,145,0,0
1000255,28,20s,technician,married,high school,no,no,yes,male,$100k - $250k,platinum,100,0,0
1000256,37,30s,administration,married,graduate,no,yes,yes,male,$50k - $100k,gold,38,5,0
1000257,42,40s,consulting,married,graduate,no,no,no,female,$100k - $250k,platinum,107,0,0
1000258,47,40s,administration,married,graduate,no,no,no,female,Over $250k,platinum,41,0,0
1000259,20,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,202,3,1
1000260,35,30s,management,married,graduate,no,no,no,male,Over $250k,platinum,53,0,0
1000261,21,20s,unemployed,divorced,high school,no,no,no,female,$10k - $50k,silver,259,3,1
1000262,41,40s,management,married,graduate,no,yes,no,male,Over $250k,platinum,103,2,0
1000263,32,30s,consulting,single,graduate,no,yes,no,male,$10k - $50k,silver,144,0,0
1000264,57,50s,management,single,high school,no,yes,yes,male,Over $250k,platinum,50,0,1
1000265,31,30s,administration,single,graduate,no,yes,no,male,Over $250k,platinum,69,7,0
1000266,34,30s,management,married,high school,no,no,no,male,$10k - $50k,silver,47,1,0
1000267,29,20s,unemployed,divorced,high school,no,yes,no,female,Under $10k,silver,320,3,1
1000268,30,30s,management,married,high school,no,no,no,male,$100k - $250k,platinum,98,1,1
1000269,58,50s,administration,divorced,graduate,no,yes,yes,female,$10k - $50k,silver,352,4,1
1000270,56,50s,management,divorced,high school,no,yes,no,female,$50k - $100k,gold,251,4,1
1000271,32,30s,manufacturing,married,graduate,no,no,no,male,$100k - $250k,platinum,176,2,0
1000272,31,30s,management,single,high school,no,no,no,male,$100k - $250k,platinum,29,0,0
1000273,38,30s,management,married,graduate,no,no,no,male,Over $250k,platinum,104,0,0
1000274,55,50s,management,married,graduate,no,no,no,male,Over $250k,platinum,28,1,0
1000275,34,30s,management,single,graduate,no,no,no,female,Over $250k,platinum,131,1,0
1000276,46,40s,manufacturing,married,college,no,yes,no,male,$50k - $100k,gold,63,2,0
1000277,57,50s,retired,married,graduate,no,no,no,female,Over $250k,platinum,101,0,1
1000278,27,20s,administration,married,graduate,no,yes,no,female,Over $250k,platinum,19,0,0
1000279,27,20s,manufacturing,single,graduate,yes,yes,yes,male,$100k - $250k,platinum,111,0,0
1000280,27,20s,manufacturing,single,high school,no,no,no,female,$100k - $250k,platinum,177,7,0
1000281,33,30s,manufacturing,married,graduate,no,yes,no,male,$50k - $100k,gold,79,2,0
1000282,59,50s,administration,divorced,college,no,yes,yes,female,$10k - $50k,silver,359,4,1
1000283,23,20s,technician,single,high school,no,yes,no,female,Over $250k,platinum,138,0,0
1000284,37,30s,technician,married,graduate,no,yes,yes,female,$10k - $50k,silver,30,1,0
1000285,33,30s,self_employed,married,graduate,no,no,no,female,Over $250k,platinum,20,1,0
1000286,33,30s,technician,married,high school,no,no,no,male,$50k - $100k,gold,167,5,0
1000287,26,20s,unemployed,divorced,graduate,no,yes,no,female,Under $10k,silver,300,3,1
1000288,56,50s,self_employed,divorced,college,no,yes,no,male,$50k - $100k,gold,295,4,1
1000289,25,20s,technician,single,high school,no,no,no,male,$50k - $100k,gold,135,5,0
1000290,43,40s,manufacturing,married,college,no,no,no,female,$50k - $100k,gold,87,1,0
1000291,51,50s,management,married,high school,no,no,no,male,$100k - $250k,platinum,136,6,0
1000292,31,30s,management,married,high school,no,no,no,female,$100k - $250k,platinum,163,5,0
1000293,27,20s,administration,single,graduate,no,yes,no,male,Over $250k,platinum,62,1,0
1000294,50,50s,management,divorced,high school,no,no,no,female,$50k - $100k,gold,111,1,0
1000295,24,20s,technician,single,graduate,no,no,no,female,$100k - $250k,platinum,40,7,0
1000296,54,50s,administration,divorced,graduate,no,yes,no,female,$10k - $50k,silver,341,4,1
1000297,34,30s,management,married,graduate,no,no,no,female,Over $250k,platinum,36,1,0
1000298,54,50s,technician,divorced,graduate,no,yes,no,male,$50k - $100k,gold,344,4,1
1000299,51,50s,technician,married,high school,no,no,no,female,$100k - $250k,platinum,26,7,0
1000300,36,30s,management,married,graduate,no,yes,no,male,Over $250k,platinum,118,0,0
1000301,60,60s,manufacturing,single,high school,no,no,no,female,Over $250k,platinum,48,0,0
1000302,31,30s,manufacturing,single,graduate,no,yes,no,male,$10k - $50k,silver,176,0,0
1000303,67,60s,management,married,unknown,no,no,no,male,$100k - $250k,platinum,48,5,1
1000304,28,20s,unemployed,divorced,graduate,no,no,no,female,$10k - $50k,silver,325,3,1
1000305,30,30s,manufacturing,single,graduate,no,no,no,male,$10k - $50k,silver,54,8,0
1000306,29,20s,unemployed,divorced,high school,no,no,no,female,$10k - $50k,silver,207,3,1
1000307,39,30s,technician,married,high school,no,no,no,male,$10k - $50k,silver,15,0,0
1000308,51,50s,consulting,divorced,college,no,no,no,female,$50k - $100k,gold,348,4,1
1000309,22,20s,unemployed,divorced,college,no,no,no,female,Under $10k,silver,320,3,0
1000310,61,60s,retired,divorced,graduate,no,no,yes,male,Over $250k,platinum,144,1,0
1000311,26,20s,unemployed,divorced,college,no,yes,yes,female,Under $10k,silver,308,3,1
1000312,33,30s,technician,married,high school,no,no,no,female,$100k - $250k,platinum,11,2,1
1000313,21,20s,unemployed,divorced,graduate,no,no,yes,female,Under $10k,silver,288,3,1
1000314,38,30s,management,single,high school,no,no,no,female,$100k - $250k,platinum,117,1,0
